id,origin,type,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality
Abimanyu,India,Human,68,384.0,2.0,0.6517857142857143,0.7328767123287672,53.752953585752834,3,0,0.5860403863037752,1335,0.6516277327779
Abiyasa,India,Human,69,160.0,2.0,0.6547085201793722,0.7363013698630136,115.35467986055686,5,0,0.49701619778346123,1166,0.6102434527395761
Angganjali,Java,Human,24,32.0,2.0,0.5447761194029851,0.5821917808219178,0.0,4,0,1.0,276,0.2850770534550792
Anoman,India,Animal,78,347.0,2.0,0.6822429906542056,0.7671232876712328,92.56978335183383,3,0,0.5021645021645021,1508,0.7031159551195891
Antaboga,Java,God,40,85.0,2.0,0.5793650793650794,0.636986301369863,4.661974148769795,3,0,0.8628205128205129,673,0.46690034667369773
Antakawulan,Java,Human,27,49.0,2.0,0.5509433962264151,0.5924657534246576,0.0,0,0,1.0,351,0.34896000316359377
Antareja,Java,Human,52,195.0,2.0,0.6083333333333333,0.678082191780822,18.467669420535348,3,0,0.7232277526395173,959,0.5566226705943643
Antasena,Java,Human,21,33.0,2.0,0.5387453874538746,0.571917808219178,0.0,0,0,1.0,210,0.2876499158926315
Arimbi,India,Raksasa,45,102.0,2.0,0.5910931174089069,0.6541095890410958,18.672180142572127,0,0,0.7121212121212122,705,0.4703876964162739
Arjuna,India,Human,125,715.0,2.0,0.874251497005988,0.928082191780822,480.9446376011365,0,0,0.32051612903225807,2484,0.9563122980682686
Asmarawati,India,Human,34,57.0,2.0,0.5658914728682171,0.6164383561643836,6.769419909533072,0,0,0.8128342245989305,456,0.360211776162798
Badrahini,Java,Human,31,58.0,2.0,0.5593869731800766,0.6061643835616438,4.9074698779033135,5,0,0.843010752688172,392,0.2582289023215744
Bagaspati,Java,Raksasa,23,29.0,2.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730987
Bagong,Java,Human,129,506.0,2.0,0.8957055214723927,0.9417808219178082,589.3834498371573,5,0,0.3065649224806202,2531,0.9555702031626856
Baladewa,India,Human,90,317.0,2.0,0.7227722772277227,0.8082191780821918,207.72213979905973,3,0,0.42671660424469415,1709,0.7556709732629314
Banowati,India,Human,85,285.0,2.0,0.7053140096618358,0.791095890410959,127.95199374239824,6,0,0.4588235294117647,1638,0.7374130589123009
Bantala,Java,Raksasa,23,34.0,2.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2677534087061714
Barata,India,Human,27,43.0,2.0,0.5509433962264151,0.5924657534246576,0.0,0,0,1.0,351,0.3489600031635937
Basudewa,India,Human,46,103.0,2.0,0.5934959349593496,0.6575342465753424,37.469237914263005,5,0,0.6202898550724638,642,0.3486320419783776
Bayu,India,God,31,46.0,2.0,0.5593869731800766,0.6061643835616438,3.954652093692341,0,0,0.864516129032258,402,0.3541958377973068
Bendana,Java,Raksasa,48,100.0,2.0,0.5983606557377049,0.6643835616438356,19.962723353514527,4,0,0.7154255319148937,807,0.5082997276833472
Bhisma,India,Human,24,28.0,2.0,0.5447761194029851,0.5821917808219178,0.0,0,0,1.0,276,0.27807979349011475
Bilung,Java,Human,33,53.0,2.0,0.5637065637065637,0.613013698630137,3.1744178478170824,6,0,0.8901515151515151,470,0.3999062673449182
Bisawarna,Java,Human,33,47.0,2.0,0.5637065637065637,0.613013698630137,5.955648613960634,6,0,0.8352272727272727,441,0.38644907528963135
Bismaka,India,Human,59,116.0,2.0,0.6266094420600858,0.702054794520548,81.27216974830523,5,0,0.5236703682057277,896,0.4911123809109117
Bomanarakasura,India,Human,36,64.0,2.0,0.5703125,0.6232876712328768,2.347151684437639,3,0,0.9079365079365079,572,0.4352708553188883
Brahma,India,God,36,65.0,2.0,0.5703125,0.6232876712328768,5.786581765098406,4,0,0.834920634920635,526,0.39292119416956395
Brajadhenta,Java,Raksasa,18,33.0,2.0,0.5328467153284672,0.5616438356164384,0.0,6,0,1.0,153,0.22655957246867134
Brajamusthi,Java,Raksasa,18,26.0,2.0,0.5328467153284672,0.5616438356164384,0.0,6,0,1.0,153,0.22655957246867134
Citrarata,India,Human,23,44.0,2.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2711010902992445
Citrasena,India,God,23,44.0,2.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.27110109029924456
Dersanala,Java,God,25,43.0,2.0,0.5468164794007491,0.5856164383561644,0.0,4,0,1.0,300,0.3087100989334856
Desamuka,India,Raksasa,36,57.0,2.0,0.5703125,0.6232876712328768,2.347151684437639,3,0,0.9079365079365079,572,0.4352708553188882
Destarastra,India,Human,23,30.0,2.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730993
Dewaki,India,Human,31,58.0,2.0,0.5593869731800766,0.6061643835616438,4.9074698779033135,5,0,0.843010752688172,392,0.25822890232157447
Dewa_Ruci,Java,God,17,19.0,2.0,0.5309090909090909,0.5582191780821918,0.0,0,0,1.0,136,0.22474751844908147
Dewasrani,Java,God,37,67.0,2.0,0.5725490196078431,0.6267123287671232,3.280587589976789,4,0,0.8873873873873874,591,0.44347170541295594
Dhadhungawuk,Java,Raksasa,17,20.0,2.0,0.5309090909090909,0.5582191780821918,0.0,3,0,1.0,136,0.2297927986920111
Dhamdharat,Java,Demon,22,49.0,2.0,0.5407407407407407,0.5753424657534246,0.0,0,0,1.0,231,0.279089146755977
Dhandhang,Java,Demon,22,44.0,2.0,0.5407407407407407,0.5753424657534246,0.0,0,0,1.0,231,0.279089146755977
Dhandhonwacana,Java,Demon,24,26.0,2.0,0.5447761194029851,0.5821917808219178,0.0,0,0,1.0,276,0.2780797934901148
Drestarastra,India,Human,24,30.0,2.0,0.5447761194029851,0.5821917808219178,0.0,0,0,1.0,276,0.2780797934901148
Drupadi,India,Human,24,25.0,2.0,0.5447761194029851,0.5821917808219178,0.0,3,0,1.0,276,0.31961037715792556
Druwasa,India,God,23,27.0,2.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730987
Durga,India,God,60,160.0,2.0,0.6293103448275862,0.7054794520547946,46.9593036918394,4,0,0.607909604519774,1076,0.5855702384297036
Durna,India,Human,104,465.0,2.0,0.776595744680851,0.8561643835616438,229.72650004202686,6,0,0.3844286781179985,2059,0.8501614357153768
Duryudana,India,Human,104,441.0,2.0,0.776595744680851,0.8561643835616438,235.2344800512788,6,0,0.381814787154593,2045,0.8471259312345784
Erawati,India,Human,24,29.0,2.0,0.5447761194029851,0.5821917808219178,0.0,5,0,1.0,276,0.22028245710460512
Gagak_Baka,Java,Human,21,24.0,2.0,0.5387453874538746,0.571917808219178,0.0,0,0,1.0,210,0.2876499158926314
Gareng,Java,Human,129,501.0,2.0,0.8957055214723927,0.9417808219178082,589.3834498371573,5,0,0.3065649224806202,2531,0.9555702031626853
Garuda,India,Animal,33,51.0,2.0,0.5637065637065637,0.613013698630137,5.668374563397447,0,0,0.8314393939393939,439,0.36743808654213794
Gatotkaca,India,Human,88,523.0,2.0,0.7156862745098039,0.8013698630136986,137.67826293056646,3,0,0.459508881922675,1759,0.765206757171927
Gendara,Java,Human,23,26.0,2.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730993
Gendari,India,Human,40,56.0,2.0,0.5793650793650794,0.636986301369863,25.043927785545097,5,0,0.6782051282051282,529,0.35963326428229275
Gorawangsa,Java,Raksasa,20,30.0,2.0,0.5367647058823529,0.5684931506849316,0.0,5,0,1.0,190,0.18065519604753622
Guru,India,God,91,345.0,2.0,0.7263681592039801,0.8116438356164384,201.64464887532645,4,0,0.4332112332112332,1774,0.773285466027757
Hagni,Java,Raksasa,23,34.0,2.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.26775340870617137
Indra,India,God,87,250.0,2.0,0.7121951219512195,0.797945205479452,198.13589178603033,4,0,0.4397219994653836,1645,0.7389456330193434
Jaya_Bajra,Java,Raksasa,20,22.0,2.0,0.5367647058823529,0.5684931506849316,0.0,5,0,1.0,190,0.18065519604753624
Jembawati,India,Human,32,51.0,2.0,0.5615384615384615,0.6095890410958904,1.653803733442222,4,0,0.9193548387096774,456,0.3751550601593493
Kalika,Java,Demon,23,35.0,2.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2711010902992446
Kamajaya,India,God,25,45.0,2.0,0.5468164794007491,0.5856164383561644,0.0,4,0,1.0,300,0.3087100989334856
Kanastren,Java,God,36,82.0,2.0,0.5703125,0.6232876712328768,3.510658714305279,3,0,0.8857142857142857,558,0.4321435120682862
Kangsa,India,Human,20,26.0,2.0,0.5367647058823529,0.5684931506849316,0.0,5,0,1.0,190,0.18065519604753627
Karna,India,Human,99,336.0,2.0,0.7564766839378239,0.839041095890411,301.65040250520514,6,0,0.3939393939393939,1911,0.8107196344839718
Kartamarma,India,Human,77,264.0,2.0,0.6790697674418604,0.7636986301369864,98.13871131577223,6,0,0.48872180451127817,1430,0.6847673198827985
Kartapiyoga,Java,Human,24,30.0,2.0,0.5447761194029851,0.5821917808219178,0.0,5,0,1.0,276,0.22028245710460512
Kencana_Wulan,Java,Human,22,29.0,2.0,0.5407407407407407,0.5753424657534246,0.0,0,0,1.0,231,0.279089146755977
Kresna,India,Human,120,719.0,2.0,0.8488372093023255,0.910958904109589,440.724325384114,0,0,0.3303921568627451,2359,0.9283029027846871
Yuda_Kala_Kresna,Java,Raksasa,23,30.0,2.0,0.5427509293680297,0.5787671232876712,0.0,4,0,1.0,253,0.3023150429517944
Kumbakarna,India,Raksasa,23,31.0,2.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.26775340870617137
Kunti,India,Human,56,132.0,2.0,0.6186440677966102,0.6917808219178082,78.48951307577813,5,0,0.5493506493506494,846,0.48817081937324386
Kuntiboja,India,Human,23,30.0,2.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730987
Kurandhayaksa,Java,Raksasa,24,30.0,2.0,0.5447761194029851,0.5821917808219178,0.0,5,0,1.0,276,0.22028245710460517
Lesmana_Mandrakumara,India,Human,38,92.0,2.0,0.5748031496062992,0.6301369863013698,3.490166746636904,6,0,0.887624466571835,624,0.45528844663477247
Lesmana_Murdaka,India,Human,27,46.0,2.0,0.5509433962264151,0.5924657534246576,0.0,0,0,1.0,351,0.34896000316359377
Madrim,India,Human,23,40.0,2.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730995
Maerah,India,Human,31,59.0,2.0,0.5593869731800766,0.6061643835616438,4.9074698779033135,5,0,0.843010752688172,392,0.2582289023215744
Mandrakeswara,Java,Human,23,29.0,2.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730993
Mangsahpati,India,Human,30,49.0,2.0,0.5572519083969466,0.6027397260273972,4.014037371534435,0,0,0.8551724137931035,372,0.3465788726611029
Maruta,Java,Raksasa,23,34.0,2.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2677534087061714
Nagagini,Java,God,22,31.0,2.0,0.5407407407407407,0.5753424657534246,0.0,3,0,1.0,231,0.2873009914256523
Nagaprasanta,Java,Raksasa,24,26.0,2.0,0.5447761194029851,0.5821917808219178,0.0,5,0,1.0,276,0.22028245710460517
Nagatatmala,Java,Human,22,35.0,2.0,0.5407407407407407,0.5753424657534246,0.0,3,0,1.0,231,0.2873009914256523
Nakula,India,Human,108,490.0,2.0,0.7934782608695652,0.8698630136986302,254.58604128946783,0,0,0.37590861889927313,2172,0.8764158972478915
Narada,India,God,91,343.0,2.0,0.7263681592039801,0.8116438356164384,200.45450177312242,4,0,0.4332112332112332,1774,0.7727035161153494
Nembur_Nawa,India,Animal,17,19.0,2.0,0.5309090909090909,0.5582191780821918,0.0,0,0,1.0,136,0.22474751844908147
NgembatLandeyan,Java,Human,23,24.0,2.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730984
Padmanaba,Java,Human,23,25.0,2.0,0.5427509293680297,0.5787671232876712,0.0,4,0,1.0,253,0.3023150429517944
Pancawala,Java,Human,23,24.0,2.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2711010902992446
Pandu,India,Human,36,79.0,2.0,0.5703125,0.6232876712328768,18.597510072101723,5,0,0.7015873015873015,442,0.2767913073174773
Panyarikan,Java,God,36,56.0,2.0,0.5703125,0.6232876712328768,6.105147632137318,4,0,0.8317460317460318,524,0.4097342030104418
Parasara,India,Human,31,48.0,2.0,0.5593869731800766,0.6061643835616438,0.6419183929060399,6,0,0.9634408602150538,448,0.40502844027034396
Petruk,Java,Human,124,536.0,2.0,0.8690476190476191,0.9246575342465754,532.3728924980396,5,0,0.3181222134801993,2426,0.9304434935811929
Pracona,Java,Raksasa,24,37.0,2.0,0.5447761194029851,0.5821917808219178,0.0,4,0,1.0,276,0.28507705345507933
Pradapa,India,Human,23,36.0,2.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2711010902992446
Pragota,Java,Human,24,25.0,2.0,0.5447761194029851,0.5821917808219178,0.0,5,0,1.0,276,0.22028245710460517
Pujawati,India,Human,23,29.0,2.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730987
Pulunggana,Java,God,28,40.0,2.0,0.553030303030303,0.5958904109589042,0.0,4,0,1.0,378,0.37730615810780055
Pulungsari,Java,God,35,67.0,2.0,0.5680933852140078,0.6198630136986302,1.912940908589437,4,0,0.9243697478991597,550,0.43485172576818787
Puntadewa,India,Human,106,515.0,2.0,0.7849462365591398,0.863013698630137,238.50863194700423,0,0,0.38221024258760106,2127,0.8664182495844409
Rama,India,Human,27,46.0,2.0,0.5509433962264151,0.5924657534246576,0.0,0,0,1.0,351,0.3489600031635937
Ramaparasu,India,God,22,34.0,2.0,0.5407407407407407,0.5753424657534246,0.0,3,0,1.0,231,0.3144862304047297
Ramayadi,Java,Human,24,32.0,2.0,0.5447761194029851,0.5821917808219178,0.0,4,0,1.0,276,0.28507705345507933
Ranu,Java,Raksasa,23,34.0,2.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2677534087061715
Rara_Ireng,India,Human,57,111.0,2.0,0.6212765957446809,0.6952054794520548,98.14602313302674,5,0,0.5413533834586466,864,0.5028656139442854
Ratmuka,Java,Demon,22,30.0,2.0,0.5407407407407407,0.5753424657534246,0.0,0,0,1.0,231,0.279089146755977
Rohini,India,Human,20,27.0,2.0,0.5367647058823529,0.5684931506849316,0.0,5,0,1.0,190,0.18065519604753627
Rukmara,India,Human,23,30.0,2.0,0.5427509293680297,0.5787671232876712,0.0,4,0,1.0,253,0.30231504295179434
Rukmini,India,Human,41,85.0,2.0,0.5816733067729084,0.6404109589041096,8.12092927611008,4,0,0.8036585365853659,659,0.4553676452925773
Sadana,Java,God,33,72.0,2.0,0.5637065637065637,0.613013698630137,1.3146131630584796,3,0,0.9412878787878788,497,0.4115811674992533
Sadewa,India,Human,108,494.0,2.0,0.7934782608695652,0.8698630136986302,254.58604128946783,0,0,0.37590861889927313,2172,0.876415897247892
Salya,India,Human,40,69.0,2.0,0.5793650793650794,0.636986301369863,23.64080654171398,5,0,0.6871794871794872,536,0.31574642001690456
Samba,India,Human,52,179.0,2.0,0.6083333333333333,0.678082191780822,20.8383195909845,3,0,0.7141779788838613,947,0.5492834002689095
Saragupita,Java,Human,31,53.0,2.0,0.5593869731800766,0.6061643835616438,4.9074698779033135,5,0,0.843010752688172,392,0.2582289023215744
Satrugna,India,Human,27,30.0,2.0,0.5509433962264151,0.5924657534246576,0.0,0,0,1.0,351,0.3489600031635937
Sekipu,Java,Raksasa,24,41.0,2.0,0.5447761194029851,0.5821917808219178,0.0,4,0,1.0,276,0.28507705345507917
Semar,Java,God,138,649.0,2.0,0.948051948051948,0.9726027397260274,729.4724864636603,5,0,0.28657569025706126,2709,1.0
Sengkuni,India,Human,112,471.0,2.0,0.8111111111111111,0.8835616438356164,402.0460842738435,6,0,0.34604247104247104,2151,0.8707810524134397
Setyaboma,India,Human,32,51.0,2.0,0.5615384615384615,0.6095890410958904,1.653803733442222,4,0,0.9193548387096774,456,0.3751550601593492
Setyaki,India,Human,47,134.0,2.0,0.5959183673469388,0.660958904109589,13.530674284731179,3,0,0.7650323774283071,827,0.5137856189722572
Siti_Sendari,India,Human,17,25.0,2.0,0.5309090909090909,0.5582191780821918,0.0,3,0,1.0,136,0.22979279869201102
Soka,Java,Human,23,36.0,2.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.27110109029924456
Sri,Java,God,33,72.0,2.0,0.5637065637065637,0.613013698630137,1.3146131630584796,3,0,0.9412878787878788,497,0.41158116749925316
Sugriwa,India,Animal,27,32.0,2.0,0.5509433962264151,0.5924657534246576,0.0,0,0,1.0,351,0.3489600031635937
Suparta,Java,Demon,24,26.0,2.0,0.5447761194029851,0.5821917808219178,0.0,0,0,1.0,276,0.2780797934901148
Surabramadiraja,Java,Human,21,32.0,2.0,0.5387453874538746,0.571917808219178,0.0,0,0,1.0,210,0.28764991589263145
Surati_Mantra,Java,Raksasa,20,28.0,2.0,0.5367647058823529,0.5684931506849316,0.0,5,0,1.0,190,0.18065519604753624
Surtikanthi,India,Human,24,29.0,2.0,0.5447761194029851,0.5821917808219178,0.0,5,0,1.0,276,0.22028245710460512
Surya,India,God,24,27.0,2.0,0.5447761194029851,0.5821917808219178,0.0,4,0,1.0,276,0.2850770534550792
Tambrapeta,Java,Human,23,36.0,2.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2711010902992447
Togog,Java,God,33,65.0,2.0,0.5637065637065637,0.613013698630137,3.1744178478170824,6,0,0.8901515151515151,470,0.3999062673449182
TunggulWulung,Java,Human,22,28.0,2.0,0.5407407407407407,0.5753424657534246,0.0,3,0,1.0,231,0.28730099142565224
Udawa,India,Human,40,83.0,2.0,0.5793650793650794,0.636986301369863,7.796369947502281,3,0,0.8128205128205128,634,0.463957752934856
Ugrasena,India,Human,46,79.0,2.0,0.5934959349593496,0.6575342465753424,37.469237914263005,5,0,0.6202898550724638,642,0.34863204197837755
Wenang,Java,God,48,111.0,2.0,0.5983606557377049,0.6643835616438356,15.3021428031812,0,0,0.7455673758865248,841,0.5198624484457056
Werkudara,India,Human,116,734.0,2.0,0.8295454545454546,0.8972602739726028,321.3085872307987,0,0,0.348575712143928,2325,0.9142030607522048
Wibisana,Java,Human,23,34.0,2.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.26775340870617137
Wilawuk,Java,Demon,24,45.0,2.0,0.5447761194029851,0.5821917808219178,0.0,0,0,1.0,276,0.2780797934901147
Wisanggeni,Java,Human,51,136.0,2.0,0.6058091286307054,0.6746575342465754,20.89962013032071,4,0,0.7215686274509804,920,0.5407764549355494
Wisnu,India,God,30,47.0,2.0,0.5572519083969466,0.6027397260273972,1.150099348781228,3,0,0.9287356321839081,404,0.371829559609622
Wulan_Drema,Java,God,24,37.0,2.0,0.5447761194029851,0.5821917808219178,0.0,6,0,1.0,276,0.3121935477036959
Wulan_Dremi,Java,God,24,35.0,2.0,0.5447761194029851,0.5821917808219178,0.0,6,0,1.0,276,0.31219354770369595
Yamadipati,India,God,24,28.0,2.0,0.5447761194029851,0.5821917808219178,0.0,3,0,1.0,276,0.3196103771579257
Yamawidura,India,Human,23,26.0,2.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730993
Yuda_Kothi,Java,Animal,24,26.0,2.0,0.5447761194029851,0.5821917808219178,0.0,5,0,1.0,276,0.2202824571046051
Yudhistira,Java,Demon,39,67.0,2.0,0.5770750988142292,0.6335616438356164,10.478003734486531,0,0,0.7840755735492577,581,0.42435342007343924
