label,degree,weighted degree,closnesscentrality,clustering
Citrarata,25,38.0,0.5362318840579711,1.0
Semar,167,690.0,0.9113300492610837,0.248899790779886
SitiSendari,18,26.0,0.5255681818181818,1.0
Werkudara,154,779.0,0.8564814814814815,0.2728121551650963
Gareng,154,530.0,0.8564814814814815,0.2697563874034462
KencanaWulan,24,31.0,0.5346820809248555,1.0
Sadewa,135,524.0,0.7872340425531915,0.3168601437258154
Kartamarma,94,280.0,0.6702898550724637,0.4058567833447724
Durna,133,494.0,0.7805907172995781,0.3079289131920711
Kesawasidhi,25,29.0,0.5362318840579711,1.0
Banowati,109,310.0,0.7088122605363985,0.3666326877336052
Rama,28,47.0,0.5409356725146199,1.0
Maerah,32,59.0,0.5473372781065089,0.8185483870967742
Baladewa,107,337.0,0.7034220532319392,0.3778874977958032
Madrim,23,40.0,0.5331412103746398,1.0
Basudewa,47,105.0,0.5727554179566563,0.606845513413506
Guru,115,375.0,0.7254901960784313,0.36186117467581996
Rukmara,25,32.0,0.5362318840579711,1.0
Petruk,144,560.0,0.8185840707964602,0.2844794094794095
Setyaboma,35,54.0,0.5522388059701493,0.8957983193277311
Bagaspati,23,29.0,0.5331412103746398,1.0
NgembatLandeyan,23,24.0,0.5331412103746398,1.0
Nakula,135,520.0,0.7872340425531915,0.3168601437258154
Wilawuk,24,45.0,0.5346820809248555,1.0
Samba,61,188.0,0.598705501618123,0.6355191256830601
Woman,30,36.0,0.5441176470588235,1.0
Arjuna,158,751.0,0.8726415094339622,0.2617915020559542
Togog,35,69.0,0.5522388059701493,0.8789915966386554
Rarawangen,28,41.0,0.5409356725146199,1.0
Narada,122,409.0,0.7459677419354839,0.3430429481100122
Antaboga,46,91.0,0.5709876543209876,0.7990338164251207
Duryudana,130,473.0,0.7708333333333334,0.31198568872987475
RaraIreng,51,91.0,0.5799373040752351,0.5929411764705882
Ratmuka,24,32.0,0.5346820809248555,1.0
Brahma,45,82.0,0.5692307692307692,0.7808080808080808
Sambuh,31,39.0,0.5457227138643068,1.0
Raksasa,17,20.0,0.5240793201133145,1.0
Nindyamaya,17,30.0,0.5240793201133145,1.0
Gatotkaca,113,563.0,0.7198443579766537,0.37942477876106195
Anoman,100,369.0,0.6851851851851852,0.3991919191919192
Brahala,36,69.0,0.5538922155688623,0.8253968253968254
Pradapa,25,40.0,0.5362318840579711,1.0
Parasara,17,20.0,0.5240793201133145,1.0
Dewasrani,41,73.0,0.5623100303951368,0.8475609756097561
Durga,73,176.0,0.622895622895623,0.5441400304414004
Antareja,64,202.0,0.6045751633986928,0.6185515873015873
Kresna,158,767.0,0.8726415094339622,0.26187212771103763
Barata,28,44.0,0.5409356725146199,1.0
Kanastren,40,82.0,0.5606060606060606,0.8448717948717949
Asmarawati,36,59.0,0.5538922155688623,0.8031746031746032
Dhamdharat,24,46.0,0.5346820809248555,1.0
Bagong,154,535.0,0.8564814814814815,0.2697563874034462
TunggulWulung,27,34.0,0.5393586005830904,1.0
Sugriwa,28,33.0,0.5409356725146199,1.0
Kalanjaya,25,48.0,0.5362318840579711,1.0
BayuBajra,27,46.0,0.5393586005830904,1.0
Ugrasena,47,79.0,0.5727554179566563,0.606845513413506
Abiyasa,78,169.0,0.6335616438356164,0.45787545787545786
Kurandhayaksa,24,30.0,0.5346820809248555,1.0
YudaKothi,24,26.0,0.5346820809248555,1.0
Drupadi,27,28.0,0.5393586005830904,1.0
Setyaki,51,138.0,0.5799373040752351,0.7247058823529412
Karna,123,361.0,0.7489878542510121,0.3264027722244436
Sintawaka,25,32.0,0.5362318840579711,1.0
Dewaki,32,58.0,0.5473372781065089,0.8185483870967742
Mahadewa,31,39.0,0.5457227138643068,1.0
Bendana,57,107.0,0.5910543130990416,0.6654135338345865
Udawa,47,90.0,0.5727554179566563,0.7391304347826086
Jembawati,35,54.0,0.5522388059701493,0.8957983193277311
Amonggati,17,30.0,0.5240793201133145,1.0
LesmanaMandrakumara,40,94.0,0.5606060606060606,0.8641025641025641
Puntadewa,131,546.0,0.7740585774058577,0.32108044627128596
Panyarikan,45,65.0,0.5692307692307692,0.7727272727272727
Iswara,31,39.0,0.5457227138643068,1.0
Indra,107,270.0,0.7034220532319392,0.3782401692823135
Sengkuni,135,496.0,0.7872340425531915,0.29253731343283584
Sinduragen,27,45.0,0.5393586005830904,1.0
NemburNawa,19,21.0,0.5270655270655271,1.0
Soka,25,40.0,0.5362318840579711,1.0
Kunti,60,136.0,0.5967741935483871,0.5242937853107345
Bhisma,24,28.0,0.5346820809248555,1.0
Badrahini,32,58.0,0.5473372781065089,0.8185483870967742
Salya,40,69.0,0.5606060606060606,0.6833333333333333
Bisawarna,36,50.0,0.5538922155688623,0.8111111111111111
Rukmini,46,91.0,0.5709876543209876,0.7574879227053141
Resi,27,44.0,0.5393586005830904,1.0
Bantala,25,36.0,0.5362318840579711,1.0
Destarastra,23,30.0,0.5331412103746398,1.0
Kuntiboja,23,30.0,0.5331412103746398,1.0
Kalika,25,37.0,0.5362318840579711,1.0
JayaBajra,20,22.0,0.5285714285714286,1.0
Sekipu,31,48.0,0.5457227138643068,1.0
Wisnu,56,97.0,0.589171974522293,0.6441558441558441
DewaRuci,19,21.0,0.5270655270655271,1.0
Antasena,21,33.0,0.5300859598853869,1.0
SuratiMantra,20,28.0,0.5285714285714286,1.0
Bismaka,62,118.0,0.6006493506493507,0.5071390798519302
Gendari,40,56.0,0.5606060606060606,0.6782051282051282
Wisanggeni,58,145.0,0.592948717948718,0.662431941923775
Saragupita,32,53.0,0.5473372781065089,0.8185483870967742
Mandrakeswara,23,29.0,0.5331412103746398,1.0
Pandu,36,79.0,0.5538922155688623,0.7
Brajadhenta,18,31.0,0.5255681818181818,1.0
Nagagini,27,34.0,0.5393586005830904,1.0
Drestarastra,24,30.0,0.5346820809248555,1.0
Yudhistira,46,74.0,0.5709876543209876,0.748792270531401
Dhandhang,24,47.0,0.5346820809248555,1.0
Citrasena,25,38.0,0.5362318840579711,1.0
Padmanaba,25,27.0,0.5362318840579711,1.0
Ramaparasu,22,34.0,0.5316091954022989,1.0
NagaSewu,27,30.0,0.5393586005830904,1.0
Raksasa1,19,23.0,0.5270655270655271,1.0
Wenang,51,95.0,0.5799373040752351,0.6823529411764706
Hagni,25,36.0,0.5362318840579711,1.0
Sri,38,77.0,0.5572289156626506,0.8890469416785206
Yamadipati,27,32.0,0.5393586005830904,1.0
Bayu,33,50.0,0.5489614243323442,0.8276515151515151
Arimbi,52,109.0,0.5817610062893082,0.6742081447963801
Gendara,23,26.0,0.5331412103746398,1.0
LesmanaMurdaka,28,50.0,0.5409356725146199,1.0
Maruta,25,36.0,0.5362318840579711,1.0
Kumbakarna,25,33.0,0.5362318840579711,1.0
Surtikanthi,24,29.0,0.5346820809248555,1.0
Sengkalawati,24,27.0,0.5346820809248555,1.0
Abimanyu,83,409.0,0.6445993031358885,0.5027916544225683
Maheswara,31,39.0,0.5457227138643068,1.0
Pracona,31,44.0,0.5457227138643068,1.0
Bomanarakasura,39,67.0,0.5589123867069486,0.8771929824561403
Pancawala,25,26.0,0.5362318840579711,1.0
Erawati,24,29.0,0.5346820809248555,1.0
Nagaprasanta,24,26.0,0.5346820809248555,1.0
Pujawati,23,29.0,0.5331412103746398,1.0
Kalantaka,25,48.0,0.5362318840579711,1.0
Godhayitma,39,60.0,0.5589123867069486,0.8771929824561403
Wibisana,25,36.0,0.5362318840579711,1.0
Bratajaya,24,27.0,0.5346820809248555,1.0
Tiger,22,29.0,0.5316091954022989,1.0
Mangsahpati,32,51.0,0.5473372781065089,0.8508064516129032
Pulungsari,30,43.0,0.5441176470588235,1.0
Prasara,30,37.0,0.5441176470588235,1.0
RaraTemon,34,68.0,0.5505952380952381,0.9019607843137255
Guard,27,32.0,0.5393586005830904,1.0
Godakesa,27,43.0,0.5393586005830904,1.0
Kartapiyoga,24,30.0,0.5346820809248555,1.0
GagakBaka,21,24.0,0.5300859598853869,1.0
Kangsa,20,26.0,0.5285714285714286,1.0
Raksasa2,19,23.0,0.5270655270655271,1.0
Ranu,25,36.0,0.5362318840579711,1.0
Rudra,31,39.0,0.5457227138643068,1.0
JakaPupon,27,41.0,0.5393586005830904,1.0
FakeWerkudara,27,38.0,0.5393586005830904,1.0
Yamawidura,23,26.0,0.5331412103746398,1.0
Pulunggana,30,43.0,0.5441176470588235,1.0
Brajamusthi,18,26.0,0.5255681818181818,1.0
WulanDrema,24,37.0,0.5346820809248555,1.0
WulanDremi,24,35.0,0.5346820809248555,1.0
Bagus,27,44.0,0.5393586005830904,1.0
Nagasewu,27,40.0,0.5393586005830904,1.0
Bilung,35,55.0,0.5522388059701493,0.8789915966386554
Garuda,36,56.0,0.5538922155688623,0.819047619047619
Tambrapeta,25,40.0,0.5362318840579711,1.0
SuksmaLanggeng,17,29.0,0.5240793201133145,1.0
Bimasakti,21,41.0,0.5300859598853869,1.0
Nagabanda,27,43.0,0.5393586005830904,1.0
Kamajaya,27,44.0,0.5393586005830904,1.0
Lion,30,37.0,0.5441176470588235,1.0
Pragota,24,25.0,0.5346820809248555,1.0
YudaKalaKresna,25,30.0,0.5362318840579711,1.0
Dhandhonwacana,24,26.0,0.5346820809248555,1.0
KudaKalaKresna,25,34.0,0.5362318840579711,1.0
Suparta,24,26.0,0.5346820809248555,1.0
Sangkara,31,39.0,0.5457227138643068,1.0
Surya,31,34.0,0.5457227138643068,1.0
Antakawulan,28,37.0,0.5409356725146199,1.0
Surabramadiraja,21,32.0,0.5300859598853869,1.0
Angganjali,31,39.0,0.5457227138643068,1.0
Dersanala,27,47.0,0.5393586005830904,1.0
Ramayadi,31,39.0,0.5457227138643068,1.0
Sadana,38,77.0,0.5572289156626506,0.8890469416785206
Gorawangsa,20,28.0,0.5285714285714286,1.0
Rohini,20,27.0,0.5285714285714286,1.0
Nagatatmala,27,34.0,0.5393586005830904,1.0
Druwasa,23,27.0,0.5331412103746398,1.0
Boar,17,22.0,0.5240793201133145,1.0
Dhadhungawuk,18,21.0,0.5255681818181818,1.0
Satrugna,28,31.0,0.5409356725146199,1.0
