label,degree,weighted degree,closnesscentrality,betweenesscentrality,clustering
Citrarata,23,44.0,0.5382059800664452,0.0,1.0
Semar,151,662.0,0.9364161849710982,895.6273641049369,0.26834437086092716
SitiSendari,17,25.0,0.5276872964169381,0.0,1.0
Werkudara,131,752.0,0.8393782383419689,461.3248735012861,0.3142689371697005
Gareng,141,514.0,0.8852459016393442,727.641136357796,0.2877406281661601
KencanaWulan,22,29.0,0.5364238410596026,0.0,1.0
Sadewa,120,505.0,0.7941176470588235,336.4091667450222,0.34929971988795516
Kartamarma,82,267.0,0.6694214876033058,125.58119679480414,0.4549834387232761
Banowati,91,290.0,0.6952789699570815,165.22709519228624,0.42515262515262514
Rama,27,46.0,0.5454545454545454,0.0,1.0
Maerah,32,59.0,0.5547945205479452,6.354408457040036,0.8185483870967742
Baladewa,98,325.0,0.7168141592920354,259.2407441676945,0.40479697033452555
Madrim,23,40.0,0.5382059800664452,0.0,1.0
Basudewa,47,103.0,0.5848375451263538,40.77606422783374,0.606845513413506
Guru,103,359.0,0.7330316742081447,277.6221548330954,0.3953931086997906
Rukmara,24,31.0,0.54,0.0,1.0
Petruk,130,542.0,0.8350515463917526,598.0749792134274,0.30590339892665475
Setyaboma,34,53.0,0.5586206896551724,2.0789331648190363,0.9126559714795008
Bagaspati,23,29.0,0.5382059800664452,0.0,1.0
NgembatLandeyan,23,24.0,0.5382059800664452,0.0,1.0
Nakula,120,501.0,0.7941176470588235,336.4091667450222,0.34929971988795516
Wilawuk,24,45.0,0.54,0.0,1.0
Samba,55,182.0,0.6022304832713755,26.894111644696792,0.6848484848484848
Togog,33,65.0,0.5567010309278351,3.1731172304986686,0.8901515151515151
Narada,104,360.0,0.7363636363636363,290.3982756089155,0.3928304705003734
Antaboga,40,85.0,0.5704225352112676,4.488766457104484,0.8666666666666667
Duryudana,111,446.0,0.7605633802816901,292.49221881711304,0.3561015561015561
RaraIreng,48,84.0,0.5869565217391305,59.887890905776864,0.600177304964539
Ratmuka,22,30.0,0.5364238410596026,0.0,1.0
Brahma,45,82.0,0.5806451612903226,12.357754996589643,0.7818181818181819
Sambuh,31,39.0,0.552901023890785,0.0,1.0
Gatotkaca,98,536.0,0.7168141592920354,188.76453033025072,0.4270986745213549
Anoman,82,354.0,0.6694214876033058,120.89348927201253,0.4700391448358928
Pradapa,23,36.0,0.5382059800664452,0.0,1.0
Parasara,14,17.0,0.5225806451612903,0.0,1.0
Dewasrani,40,72.0,0.5704225352112676,5.295070540681118,0.8551282051282051
Durga,70,172.0,0.6377952755905512,73.3349856574774,0.5610766045548654
Antareja,54,197.0,0.6,22.026880785829107,0.7009084556254368
Kresna,135,738.0,0.8571428571428571,609.8030148946364,0.2996130458817026
Barata,27,43.0,0.5454545454545454,0.0,1.0
Kanastren,36,82.0,0.5625,3.5106587143052788,0.8857142857142857
Bagong,141,519.0,0.8852459016393442,727.641136357796,0.2877406281661601
TunggulWulung,23,30.0,0.5382059800664452,0.0,1.0
Sugriwa,27,32.0,0.5454545454545454,0.0,1.0
Pancawala,23,24.0,0.5382059800664452,0.0,1.0
Tambrapeta,23,36.0,0.5382059800664452,0.0,1.0
Ugrasena,47,79.0,0.5848375451263538,40.77606422783374,0.606845513413506
Abiyasa,71,162.0,0.6403162055335968,124.94056127728192,0.48732394366197185
Kurandhayaksa,24,30.0,0.54,0.0,1.0
YudaKothi,24,26.0,0.54,0.0,1.0
Drupadi,24,25.0,0.54,0.0,1.0
WulanDremi,24,35.0,0.54,0.0,1.0
Dewaki,32,58.0,0.5547945205479452,6.354408457040036,0.8185483870967742
Mahadewa,31,39.0,0.552901023890785,0.0,1.0
Bendana,56,108.0,0.6044776119402985,32.460032462880065,0.6701298701298701
Udawa,42,85.0,0.574468085106383,10.384243712136714,0.7828106852497096
Jembawati,34,53.0,0.5586206896551724,2.0789331648190363,0.9126559714795008
Bomanarakasura,36,64.0,0.5625,2.2397268210551577,0.9111111111111111
LesmanaMandrakumara,38,92.0,0.5664335664335665,3.856009923404498,0.8805120910384068
Puntadewa,112,521.0,0.7641509433962265,277.3670106698698,0.3642213642213642
Durna,111,470.0,0.7605633802816901,286.68640453858706,0.3583947583947584
Panyarikan,44,64.0,0.5785714285714286,12.303333925551005,0.7832980972515856
Iswara,31,39.0,0.552901023890785,0.0,1.0
Indra,100,261.0,0.7232142857142857,278.2640352247788,0.4
Wenang,52,118.0,0.5955882352941176,29.81530096079236,0.6840120663650076
Karna,110,346.0,0.7570093457943925,410.2643471600318,0.3611342785654712
NemburNawa,17,19.0,0.5276872964169381,0.0,1.0
Soka,23,36.0,0.5382059800664452,0.0,1.0
Kunti,56,132.0,0.6044776119402985,78.53501415847956,0.5493506493506494
Bhisma,24,28.0,0.54,0.0,1.0
Badrahini,32,58.0,0.5547945205479452,6.354408457040036,0.8185483870967742
Salya,40,69.0,0.5704225352112676,24.470040621810128,0.6833333333333333
Bisawarna,33,47.0,0.5567010309278351,5.961412777333495,0.8352272727272727
Setyaki,49,136.0,0.5890909090909091,16.614269162520582,0.7448979591836735
Pandu,36,79.0,0.5625,18.77921487835281,0.7
Bantala,23,34.0,0.5382059800664452,0.0,1.0
Destarastra,23,30.0,0.5382059800664452,0.0,1.0
Kuntiboja,23,30.0,0.5382059800664452,0.0,1.0
Kalika,23,35.0,0.5382059800664452,0.0,1.0
JayaBajra,20,22.0,0.5328947368421053,0.0,1.0
Sekipu,31,48.0,0.552901023890785,0.0,1.0
Wisnu,52,89.0,0.5955882352941176,29.884451764770095,0.6990950226244343
Arjuna,140,727.0,0.8804347826086957,683.5308666137806,0.2906474820143885
DewaRuci,17,19.0,0.5276872964169381,0.0,1.0
Antasena,21,33.0,0.5346534653465347,0.0,1.0
SuratiMantra,20,28.0,0.5328947368421053,0.0,1.0
Bismaka,61,117.0,0.6159695817490495,90.83424835178798,0.5098360655737705
Gendari,40,56.0,0.5704225352112676,25.08003889665621,0.6782051282051282
Wisanggeni,54,141.0,0.6,25.518747323177532,0.6981132075471698
Saragupita,32,53.0,0.5547945205479452,6.354408457040036,0.8185483870967742
Mandrakeswara,23,29.0,0.5382059800664452,0.0,1.0
Brajadhenta,18,33.0,0.5294117647058824,0.0,1.0
Nagagini,23,32.0,0.5382059800664452,0.0,1.0
Drestarastra,24,30.0,0.54,0.0,1.0
Yudhistira,46,74.0,0.5827338129496403,17.83319429808747,0.7478260869565218
Dhandhang,22,44.0,0.5364238410596026,0.0,1.0
Citrasena,23,44.0,0.5382059800664452,0.0,1.0
Padmanaba,24,26.0,0.54,0.0,1.0
Ramaparasu,22,34.0,0.5364238410596026,0.0,1.0
Hagni,23,34.0,0.5382059800664452,0.0,1.0
Dhamdharat,22,49.0,0.5364238410596026,0.0,1.0
Sri,33,72.0,0.5567010309278351,1.3127192236645406,0.9412878787878788
Yamadipati,24,28.0,0.54,0.0,1.0
Bayu,31,46.0,0.552901023890785,3.9491121164282275,0.864516129032258
Arimbi,52,109.0,0.5955882352941176,28.871636112273432,0.6787330316742082
LesmanaMurdaka,27,46.0,0.5454545454545454,0.0,1.0
Maruta,23,34.0,0.5382059800664452,0.0,1.0
Kumbakarna,23,31.0,0.5382059800664452,0.0,1.0
Surtikanthi,24,29.0,0.54,0.0,1.0
Sengkalawati,24,27.0,0.54,0.0,1.0
Abimanyu,71,388.0,0.6403162055335968,62.4680833039012,0.5645875251509054
Maheswara,31,39.0,0.552901023890785,0.0,1.0
Pracona,31,44.0,0.552901023890785,0.0,1.0
Erawati,24,29.0,0.54,0.0,1.0
Nagaprasanta,24,26.0,0.54,0.0,1.0
Pujawati,23,29.0,0.5382059800664452,0.0,1.0
Gendara,23,26.0,0.5382059800664452,0.0,1.0
Godhayitma,36,57.0,0.5625,2.2397268210551577,0.9111111111111111
Wibisana,23,34.0,0.5382059800664452,0.0,1.0
Bratajaya,24,27.0,0.54,0.0,1.0
Mangsahpati,30,49.0,0.5510204081632653,4.020567746318184,0.8551724137931035
Rukmini,44,88.0,0.5785714285714286,10.713750280520037,0.781183932346723
Sengkuni,117,475.0,0.782608695652174,466.6199562730531,0.32905982905982906
Pulungsari,29,41.0,0.5491525423728814,0.0,1.0
Prasara,29,36.0,0.5491525423728814,0.0,1.0
Kartapiyoga,24,30.0,0.54,0.0,1.0
GagakBaka,21,24.0,0.5346534653465347,0.0,1.0
Ranu,23,34.0,0.5382059800664452,0.0,1.0
Kangsa,20,26.0,0.5328947368421053,0.0,1.0
Resi,27,44.0,0.5454545454545454,0.0,1.0
Rudra,31,39.0,0.552901023890785,0.0,1.0
FakeWerkudara,23,34.0,0.5382059800664452,0.0,1.0
Yamawidura,23,26.0,0.5382059800664452,0.0,1.0
Pulunggana,29,41.0,0.5491525423728814,0.0,1.0
Brajamusthi,18,26.0,0.5294117647058824,0.0,1.0
WulanDrema,24,37.0,0.54,0.0,1.0
Bagus,27,44.0,0.5454545454545454,0.0,1.0
Asmarawati,34,57.0,0.5586206896551724,6.780323099574195,0.8128342245989305
Bilung,33,53.0,0.5567010309278351,3.1731172304986686,0.8901515151515151
Garuda,33,51.0,0.5567010309278351,5.668374563397446,0.8314393939393939
SuksmaLanggeng,14,23.0,0.5225806451612903,0.0,1.0
Ramayadi,31,39.0,0.552901023890785,0.0,1.0
Kamajaya,27,44.0,0.5454545454545454,0.0,1.0
Lion,29,36.0,0.5491525423728814,0.0,1.0
Pragota,24,25.0,0.54,0.0,1.0
YudaKalaKresna,24,29.0,0.54,0.0,1.0
Dhandhonwacana,24,26.0,0.54,0.0,1.0
Suparta,24,26.0,0.54,0.0,1.0
Sangkara,31,39.0,0.552901023890785,0.0,1.0
Surya,31,34.0,0.552901023890785,0.0,1.0
Antakawulan,27,49.0,0.5454545454545454,0.0,1.0
Surabramadiraja,21,32.0,0.5346534653465347,0.0,1.0
Angganjali,31,39.0,0.552901023890785,0.0,1.0
Dersanala,27,47.0,0.5454545454545454,0.0,1.0
Druwasa,23,27.0,0.5382059800664452,0.0,1.0
KudaKalaKresna,24,33.0,0.54,0.0,1.0
Sadana,33,72.0,0.5567010309278351,1.3127192236645406,0.9412878787878788
Gorawangsa,20,30.0,0.5328947368421053,0.0,1.0
Rohini,20,27.0,0.5328947368421053,0.0,1.0
Nagatatmala,23,36.0,0.5382059800664452,0.0,1.0
Raksasa,14,17.0,0.5225806451612903,0.0,1.0
Dhadhungawuk,17,20.0,0.5276872964169381,0.0,1.0
Satrugna,27,30.0,0.5454545454545454,0.0,1.0
